starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 14 09:20:35 2012	1342237835	0	6	6	6
Sat Jul 14 09:17:10 2012	1342237630	0	6	6	6
Sat Jul 14 09:18:42 2012	1342237722	0	6	6	6
Sat Jul 14 09:18:40 2012	1342237720	0	6	6	6
Sat Jul 14 09:20:30 2012	1342237830	0	6	6	6
Sat Jul 14 09:18:24 2012	1342237704	0	6	6	6
Sat Jul 14 09:21:33 2012	1342237893	0	6	6	6
Sat Jul 14 09:19:13 2012	1342237753	0	6	6	6
Sat Jul 14 09:20:04 2012	1342237804	0	6	6	6
Sat Jul 14 09:17:04 2012	1342237624	0	6	6	6
Sat Jul 14 09:18:56 2012	1342237736	0	6	6	6
Sat Jul 14 09:17:27 2012	1342237647	0	6	6	6
Sat Jul 14 09:20:26 2012	1342237826	0	6	6	6
Sat Jul 14 09:22:29 2012	1342237949	0	6	6	6
Sat Jul 14 09:17:37 2012	1342237657	0	6	6	6
Sat Jul 14 09:20:30 2012	1342237830	0	6	6	6
Sat Jul 14 09:22:28 2012	1342237948	0	6	6	6
Sat Jul 14 09:17:06 2012	1342237626	0	6	6	6
Sat Jul 14 09:20:35 2012	1342237835	0	6	6	6
Sat Jul 14 09:18:51 2012	1342237731	0	6	6	6
Sat Jul 14 09:21:03 2012	1342237863	0	6	6	6
Sat Jul 14 09:20:24 2012	1342237824	0	6	6	6
Sat Jul 14 09:20:32 2012	1342237832	0	6	6	6
Sat Jul 14 09:18:23 2012	1342237703	0	6	6	6
Sat Jul 14 09:21:41 2012	1342237901	0	6	6	6
Sat Jul 14 09:18:34 2012	1342237714	0	6	6	6
Sat Jul 14 09:20:36 2012	1342237836	0	6	6	6
Sat Jul 14 09:20:30 2012	1342237830	0	6	6	6
Sat Jul 14 09:16:48 2012	1342237608	0	6	6	6
Sat Jul 14 09:18:41 2012	1342237721	0	6	6	6
Sat Jul 14 09:21:41 2012	1342237901	0	6	6	6
Sat Jul 14 09:20:09 2012	1342237809	0	6	6	6
Sat Jul 14 09:18:56 2012	1342237736	0	6	6	6
Sat Jul 14 09:21:52 2012	1342237912	0	6	6	6
Sat Jul 14 09:22:35 2012	1342237955	0	6	6	6
Sat Jul 14 09:20:20 2012	1342237820	0	6	6	6
Sat Jul 14 09:20:44 2012	1342237844	0	6	6	6
Sat Jul 14 09:18:22 2012	1342237702	0	6	6	6
Sat Jul 14 09:21:51 2012	1342237911	0	6	6	6
Sat Jul 14 09:20:50 2012	1342237850	0	6	6	6
Sat Jul 14 09:19:32 2012	1342237772	0	6	6	6
Sat Jul 14 09:17:52 2012	1342237672	0	6	6	6
Sat Jul 14 09:22:29 2012	1342237949	0	6	6	6
Sat Jul 14 09:18:45 2012	1342237725	0	6	6	6
Sat Jul 14 09:21:53 2012	1342237913	0	6	6	6
Sat Jul 14 09:20:33 2012	1342237833	0	6	6	6
Sat Jul 14 09:22:39 2012	1342237959	0	6	6	6
Sat Jul 14 09:17:10 2012	1342237630	0	6	6	6
Sat Jul 14 09:22:44 2012	1342237964	0	6	6	6
Sat Jul 14 09:18:34 2012	1342237714	0	6	6	6
Sat Jul 14 09:20:00 2012	1342237800	0	6	6	6
Sat Jul 14 09:22:32 2012	1342237952	0	6	6	6
Sat Jul 14 09:18:35 2012	1342237715	0	6	6	6
Sat Jul 14 09:22:27 2012	1342237947	0	6	6	6
Sat Jul 14 09:20:59 2012	1342237859	0	6	6	6
Sat Jul 14 09:18:58 2012	1342237738	0	6	6	6
Sat Jul 14 09:18:53 2012	1342237733	0	6	6	6
Sat Jul 14 09:18:37 2012	1342237717	0	6	6	6
Sat Jul 14 09:22:33 2012	1342237953	0	6	6	6
Sat Jul 14 09:17:43 2012	1342237663	0	6	6	6
